,M1,M2,M3,P1,P2,P3,P4,S1,S2,S3,S4,FU
M1,0,4,1,3,3,0,4,0,0,0,0,0
M2,3,0,1,13,1,0,7,0,0,0,0,5
M3,0,1,0,5,1,4,1,0,0,0,0,2
P1,0,1,3,0,0,0,0,0,0,0,0,4
P2,0,2,0,1,0,1,0,0,0,0,0,0
P3,0,0,0,0,2,0,1,0,0,0,0,0
P4,2,3,1,0,0,1,0,0,0,0,0,0
S1,0,0,0,0,0,0,0,0,0,0,0,0
S2,0,0,0,0,0,0,0,0,0,0,0,0
S3,0,0,0,1,0,0,0,0,0,0,0,0
S4,0,0,0,0,0,0,0,0,0,0,0,0
FU,1,2,0,2,0,0,0,0,0,0,0,0
