,M1,M2,M3,P1,P2,P3,P4,S1,S2,S3,S4,FU
M1,0,4,0,5,3,0,0,0,0,0,0,0
M2,4,0,2,10,1,0,0,1,1,0,0,0
M3,0,2,0,9,3,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0
P2,0,4,1,0,0,0,0,0,0,0,0,0
P3,0,0,0,0,0,0,0,0,0,0,0,0
P4,0,0,0,1,0,1,0,0,0,0,0,0
S1,0,1,0,0,0,0,0,0,0,0,0,0
S2,0,0,0,0,0,0,0,0,0,0,0,0
S3,0,0,0,0,0,0,0,0,0,0,0,0
S4,0,0,0,0,0,0,0,0,0,0,0,0
FU,0,0,0,0,0,0,0,0,0,0,0,0
