,M1,M2,M3,P1,P2,P3,P4,S1,S2,S3,S4,FU
M1,0,1,0,2,3,2,0,0,0,0,0,0
M2,0,0,0,5,6,1,0,0,0,0,0,1
M3,0,0,0,3,0,0,0,0,0,0,0,0
P1,2,4,3,0,0,0,0,0,0,0,0,3
P2,1,3,1,0,1,0,0,0,0,0,0,0
P3,0,0,0,1,0,0,0,0,0,0,0,0
P4,0,0,0,0,0,0,0,0,0,1,0,0
S1,0,0,0,0,0,0,0,0,0,0,0,0
S2,0,0,0,0,0,0,0,0,0,0,0,0
S3,0,0,0,0,0,0,0,0,0,0,0,0
S4,0,0,0,0,0,0,0,0,0,0,0,0
FU,0,3,0,0,1,0,0,0,0,0,0,0
